,shots,shots_ontarget,shots_conceded,shots_conceded_ontarget,corners,corners_conceded,points
0,612.0,407.0,228.0,130.0,254.0,172.0,75
1,438.0,525.0,139.0,151.0,209.0,226.0,48
2,457.0,552.0,137.0,173.0,211.0,234.0,41
3,484.0,501.0,166.0,128.0,194.0,202.0,47
4,509.0,379.0,179.0,140.0,213.0,172.0,70
5,422.0,552.0,147.0,192.0,151.0,210.0,56
6,533.0,618.0,151.0,216.0,179.0,244.0,30
7,429.0,499.0,131.0,157.0,169.0,222.0,35
8,501.0,454.0,136.0,143.0,192.0,233.0,54
9,414.0,478.0,127.0,170.0,171.0,216.0,38
10,411.0,544.0,130.0,186.0,171.0,188.0,44
11,404.0,624.0,129.0,197.0,185.0,220.0,38
12,485.0,589.0,152.0,179.0,241.0,211.0,47
13,524.0,489.0,172.0,172.0,224.0,210.0,64
14,590.0,415.0,194.0,143.0,198.0,199.0,62
15,506.0,384.0,170.0,114.0,209.0,162.0,60
16,467.0,443.0,143.0,163.0,222.0,183.0,39
17,668.0,388.0,228.0,129.0,273.0,155.0,79
18,429.0,589.0,125.0,187.0,170.0,240.0,33
19,563.0,416.0,210.0,124.0,226.0,163.0,87
20,524.0,449.0,210.0,155.0,211.0,161.0,79
21,430.0,491.0,134.0,169.0,163.0,210.0,38
22,650.0,475.0,259.0,150.0,224.0,190.0,84
23,425.0,546.0,139.0,179.0,164.0,226.0,50
24,464.0,582.0,146.0,192.0,197.0,221.0,33
25,560.0,491.0,195.0,153.0,251.0,189.0,72
26,490.0,635.0,137.0,213.0,188.0,216.0,38
27,431.0,669.0,149.0,242.0,194.0,250.0,32
28,494.0,482.0,163.0,153.0,223.0,192.0,42
29,525.0,451.0,181.0,146.0,216.0,170.0,64
30,485.0,495.0,145.0,170.0,187.0,187.0,36
31,531.0,365.0,177.0,130.0,211.0,177.0,56
32,418.0,676.0,119.0,206.0,184.0,260.0,40
33,419.0,692.0,126.0,232.0,196.0,259.0,30
34,693.0,395.0,228.0,124.0,249.0,177.0,82
35,425.0,531.0,129.0,161.0,160.0,211.0,37
36,414.0,526.0,143.0,168.0,172.0,250.0,45
37,584.0,423.0,189.0,157.0,230.0,188.0,69
38,673.0,357.0,238.0,122.0,283.0,157.0,86
39,579.0,483.0,184.0,169.0,190.0,202.0,49
40,546.0,358.0,326.0,198.0,260.0,167.0,73
41,378.0,546.0,221.0,317.0,179.0,254.0,39
42,425.0,569.0,244.0,328.0,176.0,230.0,43
43,372.0,476.0,203.0,260.0,173.0,236.0,44
44,471.0,443.0,252.0,250.0,203.0,212.0,41
45,617.0,336.0,381.0,187.0,261.0,160.0,72
46,465.0,549.0,245.0,326.0,170.0,283.0,25
47,460.0,522.0,262.0,322.0,194.0,185.0,46
48,351.0,648.0,179.0,356.0,189.0,254.0,28
49,338.0,479.0,165.0,266.0,163.0,225.0,42
50,460.0,537.0,253.0,293.0,202.0,249.0,49
51,669.0,383.0,385.0,217.0,285.0,164.0,61
52,439.0,580.0,250.0,344.0,213.0,217.0,46
53,393.0,557.0,225.0,296.0,178.0,251.0,41
54,601.0,366.0,352.0,189.0,269.0,174.0,78
55,473.0,406.0,254.0,225.0,209.0,213.0,41
56,452.0,493.0,257.0,281.0,199.0,196.0,36
57,569.0,443.0,336.0,261.0,240.0,205.0,75
58,561.0,414.0,321.0,238.0,257.0,181.0,63
59,512.0,447.0,299.0,256.0,218.0,182.0,89
60,415.0,570.0,238.0,300.0,166.0,268.0,31
61,411.0,607.0,229.0,381.0,206.0,245.0,25
62,489.0,546.0,301.0,306.0,188.0,208.0,52
63,404.0,503.0,203.0,285.0,218.0,289.0,38
64,612.0,376.0,330.0,199.0,308.0,145.0,52
65,417.0,539.0,233.0,302.0,179.0,244.0,45
66,451.0,498.0,255.0,276.0,172.0,195.0,65
67,585.0,365.0,352.0,197.0,263.0,165.0,70
68,494.0,557.0,264.0,325.0,195.0,270.0,37
69,447.0,590.0,275.0,341.0,211.0,267.0,36
70,456.0,503.0,258.0,278.0,209.0,208.0,43
71,474.0,557.0,254.0,325.0,167.0,238.0,47
72,340.0,496.0,151.0,294.0,165.0,261.0,45
73,616.0,428.0,334.0,241.0,254.0,165.0,64
74,470.0,532.0,264.0,281.0,212.0,232.0,47
75,592.0,468.0,369.0,263.0,279.0,158.0,89
76,666.0,353.0,399.0,204.0,269.0,175.0,89
77,420.0,530.0,241.0,299.0,204.0,241.0,47
78,585.0,365.0,352.0,197.0,263.0,165.0,70
79,612.0,376.0,330.0,199.0,308.0,145.0,52
